,company,job title,headquarters,salary estimate,job type,size,founded,type,industry,sector,revenue,job description
0,"Thermo Fisher - America
3.8",Staff Data Scientist,"San Francisco, CA",$94K - $169K (Glassdoor est.),Job Type : Full-time,10000+ employees,1902,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.

How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives."
1,"Thermo Fisher - America
3.8","Bioinformatics, Data Scientist","San Francisco, CA",$83K - $148K (Glassdoor est.),Job Type : Full-time,10000+ employees,1902,company - public,biotech & pharmaceuticals,biotech & pharmaceuticals,$10+ billion (usd),"Job Title – Bioinformatics, Data Scientist
Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them
Location - US-South San Francisco OR Pleasanton, CA
How will you make an impact?
You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives. This is a dynamic career opportunity to join as a Bioinformatics, Data Scientist Team member to support our qPCR Algorithm Development Group."
2,"Alkahest, Inc.",Scientist - Immunology,"San Carlos, CA",$71K - $174K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist - Immunology
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated and driven team member who will be key in advancing our immune-related scientific activities. Alkahest is developing therapies to address disorders of the central and peripheral nervous system that occur with aging, with a particular emphasis on disease where neuroinflammation is an important component. The selected candidate will use a combination of animal and human studies to assess the relationship of our drug candidates with immune mechanisms through techniques best suited for clinical translation. The role is critical in providing clinical tools to advance our therapeutic understandings of immune-related mechanisms and bridging the gap between preclinical and clinical findings. The role requires dedication, flexibility, excellent communication and organization, and will interact with teams from research, clinical and clinical operations departments to drive multiple projects in parallel."
3,"LGC Limited
3.6",Senior Scientist,"Petaluma, CA",$73K - $176K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1842,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Seeking a highly motivated individual for employment in our Research and Development group located in Petaluma, CA. This position requires an individual with strong problem solving skills, good laboratory technique, and the ability to design and execute complex experiments. The successful candidate will have the ability to innovate and implement changes in procedure and processes to achieve improved results, while maintaining attention to detail and complete documentation of experiments performed. This position will entail synthetic chemistry, running of automated oligonucleotide synthesizers, and analysis of oligonucleotides.

Areas of Responsibility:
This position requires a talented and self-managing individual to work closely with members of the research and development group to assist in the preparation of novel oligonucleotides on non-standard solid supports and/or linkers to enable new approaches to biology. This is a hands-on research position."
4,"Alkahest, Inc.",Scientist - MS Proteomics,"San Carlos, CA",$91K - $187K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Scientist - MS Proteomics
Uniquely positioned to enhance quality of life in aging, at Alkahest, we are pioneering science that is rapidly being translated to the clinic. Our approaches utilize in vivo, in vitro, proteomic, and molecular techniques to identify new therapeutics and apply them to patients.
We are seeking a highly motivated, resourceful, and detail-oriented scientist to join our collaborative and supportive mass spectrometry-based proteomics team. This position will be key in advancing our mass spectrometry platform as we establish and implement new enabling technologies to discover, characterize and validate biomarker and therapeutic target candidate proteins in complex biological samples. This position provides a unique opportunity to shape next generation MS efforts at Alkahest by integrating state-of-the-art approaches for sample preparation, data acquisition and data analysis with a focus on plasma proteomics.
Our ideal candidate will be an enthusiastic self-starter with a positive attitude, excellent organizational and interpersonal skills, and the ability to learn, develop, and implement MS methodology efficiently. The researcher will be responsible for designing and executing MS proteomics studies to analyze clinical and research samples on Thermo Orbitrap instruments, and actively contribute to MS data analysis. He/she will have opportunities to learn and develop state-of-the-art MS proteomics techniques, drive the implementation of high-throughput sample preparation methods, and utilize them to facilitate the development of novel therapeutics for aging diseases. The role requires dedication to drive science, flexibility, and efficient interaction with a team of scientists and research associates to advance multiple projects in parallel."
5,"LGC Limited
3.6","Associate Scientist, Quality Control","Petaluma, CA",$39K - $87K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1842,company - private,biotech & pharmaceuticals,biotech & pharmaceuticals,unknown / non-applicable,"Position Summary:
The Associate Scientist, Quality Control (QC) is responsible for development of QC procedures and processes, developing staff, fostering a culture of safety and quality, and participating in QC analysis. The scientist collaborates with production scheduling, instrumentation and maintenance within the QC space.
Areas of Responsibility:
Strong verbal and written communication skills.
Initiating, coordinating, and enforcing systems, policies, and procedures.
Training and mentoring of team members to develop technical growth opportunities."
6,"MarinHealth Medical Center
3.4",Clinical Laboratory Scientist,"Greenbrae, CA",$57K - $118K (Glassdoor est.),Job Type : Full-time,1001 to 5000 employees,1952,hospital,health care services & hospitals,health care,$100 to $500 million (usd),"City:
Greenbrae
State/Territory:
CA
ABOUT MARINHEALTH a UCSF Affiliate
Come and be a part of our healing team at the award-winning MarinHealth! Ranked in the top 3% of general hospitals in the country, we have made great strides since returning to our roots as an independent hospital. As Marin County’s only acute hospital and a vital resource for a wide range of essential health care services, it is our mission—and our passion—to excel in every medical specialty. We attract the finest physicians and employees who appreciate having the best of both worlds: the resources and medical sophistication of an academic medical center combined with the personalized, caring touch of an independent hospital. We have an exceptionally collaborative team that adheres to the highest service excellence standards to ensure that we deliver world-class, personalized care to patients. Our Joint-Commission accredited hospital has won numerous awards and certifications in delivering best-in-class health care in the San Francisco Bay Area."
7,"Stealth Mode Startup
4.1","NGS Scientist, Library Prep","Newark, CA",$108K - $197K (Glassdoor est.),Job Type : Full-time,1 to 50 employees,-1,unknown,-1,-1,less than $1 million (usd),"Scientist, NGS Library Prep
Job Description
Join a rapidly growing startup that is developing exciting new genomics technologies. The candidate combines a strong scientific background in the NGS library preparation field, responsible for delivering highly robust and productizable workflows. Join a remarkable and outstanding team of scientists and engineers; be part of the next transformation of the genomics field.
Responsibilities
- Technical lead on NGS library prep development projects
- Defines timelines and milestones"
8,"AMPAC Fine Chemicals
3.1",Process Scientist II,"Rancho Cordova, CA",$59K - $109K (Glassdoor est.),Job Type : Full-time,501 to 1000 employees,2005,subsidiary or business segment,biotech & pharmaceuticals,biotech & pharmaceuticals,$100 to $500 million (usd),"AMPAC Fine Chemicals is a contract manufacturing company focused on the development and manufacture of pharmaceutical compounds. We are looking for Process Scientists to be part of a team that is developing cost effective solutions for our Pharmaceutical partners.
This position is responsible for production support and process development of pharmaceutical ingredients:
Develops scalable manufacturing processes in an cGMP environment
Conducts experiments to optimize processes for commercial manufacture
Meets with groups internally and externally for project meetings and prepares data for presentations
Effectively participates in Process R&D team meetings
Works under supervision of more senior scientists or scientific directors to advance the company pipeline"
9,TrueBinding,"Scientist, structural biology","Foster City, CA",-1,Job Type : Full-time,-1,-1,-1,-1,-1,-1,"About TrueBinding, Inc.
TrueBinding, Inc is a biotherapeutics development company focused on creating new and exciting antibody for metabolic diseases and cancer, based on our proprietary TrueBinding platform with great unmet medical needs.
JOB SUMMARY
We are seeking a highly motivated structural biologist to study protein complexes discovered by Truebinding team.
Preferred Candidates
PhD/Master with focus on structural biology
Experience with large protein complex research"
10,"Adventist Health
3.6","Clinical Laboratory Scientist (CLS) - Day Shift, Full Time","Saint Helena, CA",$53K - $117K (Glassdoor est.),Job Type : Full-time,10000+ employees,1973,nonprofit organization,health care services & hospitals,health care,unknown / non-applicable,"Clinical Laboratory Scientist (CLS) - Day Shift, Full Time
Adventist Health is more than an award-winning health system. We provide whole-person care to our communities and champion the greater good - from the operating room to the boardroom, we are driven by our unique passion to live God's love through health, wholeness and hope. From Oregon to Oahu, we have a calling to always do more. Now is your chance to apply your passion to our mission.
Located in the beautiful Napa Valley, Adventist Health St. Helena is an acute-care hospital with key service areas including 24-hour emergency care, Adventist Heart and Vascular Institute, Coon Joint Replacement Institute, Martin O'Neil Cancer Center and the innovative TakeTEN program.
Located within easy reach of the coast, Sierra Nevada mountains and San Francisco, the Napa Valley is a place where the old world is not forgotten, where rural charm rules the day, and where everyone lives a great life. Whether walking along the local vineyards or biking the hills, this is a wonderful place to find a life and work balance."
11,Octave Bioscience,Clinical Laboratory Scientist,"Menlo Park, CA",$101K - $116K (Glassdoor est.),Job Type : Part-time,-1,-1,-1,-1,-1,-1,"Head of Product – Patient Insights
Octave combines deep data with profound empathy to supercharge our comprehensive approach to improving outcomes in neurodegenerative diseases, starting with MS. Our team of data scientists, biologists, clinicians and technologists are bringing their A-game to creating the next generation of clinical care solutions.
If you are at the point in your career where you have built product strategies and teams in the health space and think “I’ve got this” and if you are looking for the next big challenge that will allow you to take everything you know to a problem worth solving, Octave is the place for you.
Using human-tech services we partner with people with multiple sclerosis (PwMS) to understand and act upon the complexities and subtleties they deal with every day. Our platform of apps, sensors and wearables, cutting edge imaging technologies, and novel biomarkers provide the data for our nurses to partner with PwMS to empower them to live their lives with this disease just being one part, not the defining part."
12,"Oak Valley Hospital District
3.3",Clinical Lab Scientist l,"Oakdale, CA",$19 - $30 Per Hour(Glassdoor est.),Job Type : Part-time,201 to 500 employees,-1,hospital,health care services & hospitals,health care,$50 to $100 million (usd),"JOB DESCRIPTION &
COMPETENCY EVALUATION
POSITION TITLE: Clinical Laboratory Scientist JOB CODE: 121
DEPARTMENT: Clinical Laboratory (7060) SALARY GRADE:
REPORTS TO: Department Manager, Clinical Laboratory EXEMPT/NON: Non-exempt
Position Summary:
Under general supervision and medical direction, performs laboratory test procedures in a manner that provides accurate, timely, and meaningful results."
13,TrueBinding,"Senior / Principal Scientist, Pharmacology","Foster City, CA",$97K - $198K (Glassdoor est.),Job Type : Full-time,-1,-1,-1,-1,-1,-1,"Role: Senior/Principal Scientist, Pharmacology
About TrueBinding, Inc.
TrueBinding, Inc. is a preclinical and clinical stage biotech startup developing first-in-class antibody drugs to treat cancer, metabolic diseases, inflammation, neurodegeneration and autoimmune diseases, based on our proprietary TrueBinding platform.
Position Overview:
The candidate will play an integral role in the preclinical and clinical development of novel antibody-based therapeutics in a variety of disease areas and at various stages of development. The ideal candidate will bring along robust experience with assay design, optimization, validation and implementation supporting the development of high value therapeutic antibodies. We are looking for candidates that are highly motivated and creative with significant experience in the design and conduct of non-GLP and GLP toxicology, PKPD studies involving biologics, as well as management of external CROs. The individual will support the group with both hands on and managing efforts necessary towards the development of bioanalytical assays for both pre-clinical and clinical programs. The candidate must be team-oriented and enjoy the multi-tasked research environment of a science and patient focused company."
